Geography,Geographic Area Name,Estimate!!Median selected monthly owner costs (dollars)!!Total,Estimate!!Median selected monthly owner costs (dollars)!!Housing units with a mortgage (dollars),Estimate!!Median selected monthly owner costs (dollars)!!Housing units without a mortgage (dollars),Year
0400000US36,New York,1362,1963,665,2010
0400000US37,North Carolina,951,1250,358,2010
0400000US38,North Dakota,684,1133,378,2010
0400000US39,Ohio,963,1246,416,2010
0400000US40,Oklahoma,747,1089,341,2010
0400000US41,Oregon,1228,1577,429,2010
0400000US42,Pennsylvania,968,1390,459,2010
0400000US44,Rhode Island,1555,1837,647,2010
0400000US45,South Carolina,838,1177,336,2010
0400000US46,South Dakota,777,1151,375,2010
0400000US47,Tennessee,836,1161,338,2010
0400000US48,Texas,1016,1402,437,2010
0400000US49,Utah,1208,1433,348,2010
0400000US50,Vermont,1155,1445,580,2010
0400000US51,Virginia,1326,1728,409,2010
0400000US53,Washington,1394,1736,469,2010
0400000US54,West Virginia,491,918,268,2010
0400000US55,Wisconsin,1090,1404,497,2010
0400000US56,Wyoming,858,1300,350,2010
0400000US72,Puerto Rico,260,851,142,2010
0400000US01,Alabama,774,1134,344,2011
0400000US02,Alaska,1346,1794,529,2011
0400000US04,Arizona,1056,1365,370,2011
0400000US05,Arkansas,674,988,310,2011
0400000US06,California,1740,2182,464,2011
0400000US08,Colorado,1306,1560,403,2011
0400000US09,Connecticut,1683,2052,805,2011
0400000US10,Delaware,1231,1567,442,2011
0400000US11,District of Columbia,1874,2224,573,2011
0400000US12,Florida,1048,1470,461,2011
0400000US13,Georgia,1070,1371,389,2011
0400000US15,Hawaii,1582,2221,503,2011
0400000US16,Idaho,920,1212,324,2011
0400000US17,Illinois,1237,1646,547,2011
0400000US18,Indiana,860,1091,364,2011
0400000US19,Iowa,829,1144,405,2011
0400000US20,Kansas,894,1252,431,2011
0400000US21,Kentucky,745,1092,324,2011
0400000US22,Louisiana,694,1176,314,2011
0400000US23,Maine,950,1304,453,2011
0400000US24,Maryland,1647,1961,571,2011
0400000US25,Massachusetts,1655,2042,672,2011
0400000US26,Michigan,947,1275,450,2011
0400000US27,Minnesota,1176,1481,455,2011
0400000US28,Mississippi,643,1048,332,2011
0400000US29,Missouri,898,1199,385,2011
0400000US30,Montana,809,1256,369,2011
0400000US31,Nebraska,909,1237,444,2011
0400000US32,Nevada,1260,1529,416,2011
0400000US33,New Hampshire,1513,1884,704,2011
0400000US34,New Jersey,1918,2397,936,2011
0400000US35,New Mexico,785,1216,307,2011
0400000US36,New York,1368,1977,685,2011
0400000US37,North Carolina,943,1246,359,2011
0400000US38,North Dakota,727,1155,394,2011
0400000US39,Ohio,955,1243,428,2011
0400000US40,Oklahoma,756,1108,353,2011
0400000US41,Oregon,1192,1546,446,2011
0400000US42,Pennsylvania,980,1408,478,2011
0400000US44,Rhode Island,1522,1842,654,2011
0400000US45,South Carolina,823,1175,340,2011
0400000US46,South Dakota,791,1178,405,2011
0400000US47,Tennessee,832,1172,347,2011
0400000US48,Texas,1001,1398,443,2011
0400000US49,Utah,1177,1418,369,2011
0400000US50,Vermont,1174,1487,604,2011
0400000US51,Virginia,1302,1707,415,2011
0400000US53,Washington,1378,1733,491,2011
0400000US54,West Virginia,508,937,279,2011
0400000US55,Wisconsin,1086,1402,516,2011
0400000US56,Wyoming,894,1269,365,2011
0400000US72,Puerto Rico,271,888,151,2011
0400000US01,Alabama,725,1104,326,2012
0400000US02,Alaska,1364,1831,549,2012
0400000US04,Arizona,969,1320,370,2012
0400000US05,Arkansas,647,975,309,2012
0400000US06,California,1682,2119,478,2012
0400000US08,Colorado,1281,1551,400,2012
0400000US09,Connecticut,1668,2027,806,2012
0400000US10,Delaware,1215,1517,419,2012
0400000US11,District of Columbia,1925,2262,542,2012
0400000US12,Florida,992,1425,447,2012
0400000US13,Georgia,1039,1331,375,2012
0400000US15,Hawaii,1646,2244,513,2012
0400000US16,Idaho,913,1174,323,2012
0400000US17,Illinois,1215,1618,545,2012
0400000US18,Indiana,834,1069,353,2012
0400000US19,Iowa,817,1140,403,2012
0400000US20,Kansas,892,1250,423,2012
0400000US21,Kentucky,732,1084,311,2012
0400000US22,Louisiana,689,1148,296,2012
0400000US23,Maine,933,1300,456,2012
0400000US24,Maryland,1589,1918,556,2012
0400000US25,Massachusetts,1621,2010,681,2012
0400000US26,Michigan,902,1233,441,2012
0400000US27,Minnesota,1130,1465,450,2012
0400000US28,Mississippi,625,1031,317,2012
0400000US29,Missouri,861,1176,376,2012
0400000US30,Montana,804,1233,371,2012
0400000US31,Nebraska,918,1229,449,2012
0400000US32,Nevada,1159,1433,397,2012
0400000US33,New Hampshire,1466,1828,716,2012
0400000US34,New Jersey,1884,2342,930,2012
0400000US35,New Mexico,760,1193,311,2012
0400000US36,New York,1371,1967,683,2012
0400000US37,North Carolina,903,1209,351,2012
0400000US38,North Dakota,708,1205,394,2012
0400000US39,Ohio,925,1215,417,2012
0400000US40,Oklahoma,742,1111,348,2012
0400000US41,Oregon,1193,1544,449,2012
0400000US42,Pennsylvania,971,1382,474,2012
0400000US44,Rhode Island,1500,1774,657,2012
0400000US45,South Carolina,801,1155,318,2012
0400000US46,South Dakota,778,1174,399,2012
0400000US47,Tennessee,807,1143,338,2012
0400000US48,Texas,988,1374,432,2012
0400000US49,Utah,1156,1396,372,2012
0400000US50,Vermont,1159,1478,619,2012
0400000US51,Virginia,1273,1670,396,2012
0400000US53,Washington,1356,1715,493,2012
0400000US54,West Virginia,494,931,278,2012
0400000US55,Wisconsin,1060,1376,507,2012
0400000US56,Wyoming,839,1297,365,2012
0400000US72,Puerto Rico,290,881,150,2012
0400000US01,Alabama,718,1093,332,2013
0400000US02,Alaska,1311,1746,552,2013
0400000US04,Arizona,943,1277,368,2013
0400000US05,Arkansas,637,979,313,2013
0400000US06,California,1612,2059,486,2013
0400000US08,Colorado,1235,1516,407,2013
0400000US09,Connecticut,1622,1986,792,2013
0400000US10,Delaware,1137,1504,422,2013
0400000US11,District of Columbia,1836,2236,636,2013
0400000US12,Florida,935,1368,438,2013
0400000US13,Georgia,982,1288,372,2013
0400000US15,Hawaii,1630,2220,484,2013
0400000US16,Idaho,886,1142,335,2013
0400000US17,Illinois,1156,1565,553,2013
0400000US18,Indiana,822,1062,363,2013
0400000US19,Iowa,806,1118,424,2013
0400000US20,Kansas,856,1241,437,2013
0400000US21,Kentucky,717,1074,328,2013
0400000US22,Louisiana,680,1166,299,2013
0400000US23,Maine,904,1268,460,2013
0400000US24,Maryland,1540,1867,556,2013
0400000US25,Massachusetts,1581,1976,684,2013
0400000US26,Michigan,869,1207,445,2013
0400000US27,Minnesota,1095,1438,464,2013
0400000US28,Mississippi,604,1021,318,2013
0400000US29,Missouri,837,1162,385,2013
0400000US30,Montana,779,1259,380,2013
0400000US31,Nebraska,905,1226,465,2013
0400000US32,Nevada,1083,1361,395,2013
0400000US33,New Hampshire,1403,1778,725,2013
0400000US34,New Jersey,1820,2296,945,2013
0400000US35,New Mexico,745,1193,318,2013
0400000US36,New York,1339,1956,679,2013
0400000US37,North Carolina,890,1205,358,2013
0400000US38,North Dakota,744,1207,420,2013
0400000US39,Ohio,898,1209,425,2013
0400000US40,Oklahoma,737,1094,353,2013
0400000US41,Oregon,1156,1502,455,2013
0400000US42,Pennsylvania,950,1373,481,2013
0400000US44,Rhode Island,1429,1751,655,2013
0400000US45,South Carolina,786,1144,333,2013
0400000US46,South Dakota,775,1150,420,2013
0400000US47,Tennessee,792,1138,347,2013
0400000US48,Texas,961,1375,434,2013
0400000US49,Utah,1121,1377,384,2013
0400000US50,Vermont,1119,1482,629,2013
0400000US51,Virginia,1233,1645,414,2013
0400000US53,Washington,1302,1667,498,2013
0400000US54,West Virginia,503,939,288,2013
0400000US55,Wisconsin,1027,1352,516,2013
0400000US56,Wyoming,880,1330,376,2013
0400000US72,Puerto Rico,283,877,155,2013
0400000US01,Alabama,733,1119,344,2014
0400000US02,Alaska,1366,1797,545,2014
