STATE,NAME,Year,BIRTHS,DEATHS,NETMIG,POPESTIMATE,Total exemptions,Median AGI,Mean AGI,AveragePrice,Estimate!!Median selected monthly owner costs (dollars)!!Total,Estimate!!Median selected monthly owner costs (dollars)!!Housing units with a mortgage (dollars),Estimate!!Median selected monthly owner costs (dollars)!!Housing units without a mortgage (dollars)
13,Georgia,2010,32490,17216,7403,9712209,8324207,28553,50190,144370,1106,1390,381
13,Georgia,2011,132638,71163,29678,9803630,8365082,28795,50996,153746,1070,1371,389
13,Georgia,2012,131860,70456,37428,9903580,8195512,30869,56768,161805,1039,1331,375
13,Georgia,2013,128689,74852,17365,9975592,8230432,31505,56574,168541,982,1288,372
13,Georgia,2014,129543,74843,40696,10071204,8254194,32800,60680,176020,989,1285,391
13,Georgia,2015,131678,78566,58884,10183353,8305662,34050,62716,186757,993,1299,400
13,Georgia,2016,131395,80067,73780,10308442,8254234,35075,63947,194488,990,1336,398
13,Georgia,2017,129077,82135,61644,10417031,8335525,36571,68137,192960,1004,1341,395
13,Georgia,2019,125873,85998,68760,10628020,8587441,34956,66777,161405,1059,1450,431
13,Georgia,2020,125818,94638,50838,10710017,8592893,36218,70048,157312,1112,1501,457
15,Hawaii,2010,4643,2531,1676,1364004,1174821,35916,53760,303837,1618,2240,475
15,Hawaii,2011,19154,10075,6531,1379562,1185422,36427,54554,331236,1582,2221,503
15,Hawaii,2012,18894,10250,7227,1395199,1195275,37603,58063,367015,1646,2244,513
15,Hawaii,2013,19029,10339,5110,1408822,1203797,38584,58212,414075,1630,2220,484
15,Hawaii,2014,18956,10738,-1637,1415335,1207363,39896,61262,503158,1546,2173,488
15,Hawaii,2015,18211,11078,605,1422999,1211264,41419,63843,607001,1576,2248,490
15,Hawaii,2016,18406,10855,-1632,1428885,1208463,42690,65646,672832,1577,2239,492
15,Hawaii,2017,17770,11288,-9602,1425763,1211342,44382,68689,691119,1608,2337,497
15,Hawaii,2019,16695,12456,-11685,1415615,1216823,44027,68258,601178,1713,2472,542
15,Hawaii,2020,16420,13768,-11188,1407006,1179271,43747,69585,592311,1790,2584,596
16,Idaho,2010,5973,2582,-194,1570819,1369473,32052,47149,113141,923,1187,315
16,Idaho,2011,22973,11882,2337,1584272,1371919,32544,48527,119521,920,1212,324
16,Idaho,2012,22365,11897,1035,1595910,1382315,33980,52969,124079,913,1174,323
16,Idaho,2013,22713,12297,5574,1612053,1398098,34796,52841,132304,886,1142,335
16,Idaho,2014,22440,12533,10059,1632248,1413597,36227,56129,144700,854,1138,341
16,Idaho,2015,23029,12889,10065,1652495,1441173,37259,58004,169378,883,1170,347
16,Idaho,2016,22601,13278,22168,1684036,1464148,38202,59571,198484,884,1168,348
16,Idaho,2017,22463,13683,26857,1719745,1493904,40017,62588,209200,926,1213,369
16,Idaho,2019,21584,13755,29224,1789060,1561741,40810,66092,177921,965,1306,380
16,Idaho,2020,21656,14637,30961,1826913,1606513,41987,72274,165429,1048,1425,419
17,Illinois,2010,41839,24075,-8427,12840545,11226924,37782,64828,152886,1254,1655,534
17,Illinois,2011,162419,101615,-33620,12867783,11210867,38167,65836,164571,1237,1646,547
17,Illinois,2012,160154,101312,-43513,12883029,11151259,39672,71798,176871,1215,1618,545
17,Illinois,2013,157503,104308,-40267,12895778,11124729,40602,70577,189749,1156,1565,553
17,Illinois,2014,157501,102684,-65961,12885092,11081746,41925,74576,202488,1163,1584,579
17,Illinois,2015,159256,107563,-77525,12859585,11058324,43064,77326,219134,1171,1588,589
17,Illinois,2016,156747,106154,-88627,12821709,10974168,43876,77228,231445,1163,1588,591
17,Illinois,2017,151354,108768,-84644,12779893,10927806,45509,80162,229204,1172,1603,617
17,Illinois,2019,142527,109472,-90821,12667017,10824349,45471,80837,186498,1213,1688,641
17,Illinois,2020,140833,118232,-102041,12587530,10601526,45389,82574,182671,1234,1717,666
18,Indiana,2010,20965,13851,-560,6490555,5712995,33816,51568,112102,867,1090,344
18,Indiana,2011,83476,57903,1184,6517250,5676203,34180,52877,115713,860,1091,364
18,Indiana,2012,83053,58608,-2438,6538989,5679171,35216,56098,119093,834,1069,353
18,Indiana,2013,83369,60700,9267,6570575,5682716,35865,56123,122182,822,1062,363
18,Indiana,2014,83528,59828,2450,6596019,5690685,36909,58430,125825,840,1082,386
18,Indiana,2015,84205,62900,-5565,6611442,5703063,37887,60221,130495,842,1089,386
18,Indiana,2016,83540,62133,5200,6637898,5690077,38762,61605,132849,818,1070,377
18,Indiana,2017,82219,65299,7430,6662068,5710283,40403,63875,133533,835,1089,383
18,Indiana,2019,81204,63772,15076,6731010,5783623,40109,63792,127193,874,1146,416
18,Indiana,2020,80976,67236,10066,6754953,5785162,40298,64916,128858,895,1195,437
19,Iowa,2010,9973,6886,958,3050819,2677254,38374,55402,104840,819,1140,392
19,Iowa,2011,37837,28191,6320,3066772,2678963,39362,57402,109142,829,1144,405
19,Iowa,2012,38459,28054,-323,3076844,2687846,40990,62760,113332,817,1140,403
19,Iowa,2013,38804,29151,7398,3093935,2694570,41847,61706,117475,806,1118,424
19,Iowa,2014,39457,28883,6224,3110643,2701457,43245,64485,122391,843,1173,448
19,Iowa,2015,39694,29748,2048,3122541,2709100,44072,65341,128140,834,1170,443
19,Iowa,2016,39427,29162,439,3133210,2705924,44591,65634,132697,847,1186,447
19,Iowa,2017,38790,30579,2346,3143734,2712231,46076,68229,134194,879,1205,457
19,Iowa,2019,37380,29055,1355,3159596,2744486,46002,68535,135536,924,1266,503
19,Iowa,2020,37068,30857,-2288,3163561,2750678,45977,70348,137533,957,1328,521
20,Kansas,2010,9994,5995,1207,2858266,2528765,36302,58118,105059,882,1239,419
20,Kansas,2011,40118,25171,-3534,2869677,2535045,36700,59645,109774,894,1252,431
20,Kansas,2012,39553,24977,1695,2886024,2531339,38166,64363,114253,892,1250,423
20,Kansas,2013,39703,25595,-5832,2894306,2525546,39186,63839,118128,856,1241,437
20,Kansas,2014,39285,25474,-6235,2901861,2524216,40501,67126,122291,894,1256,466
20,Kansas,2015,39003,26527,-3521,2910717,2518959,41146,67447,127605,893,1279,467
20,Kansas,2016,38769,26238,-10266,2912977,2500168,41635,66946,132319,885,1264,465
20,Kansas,2017,37219,27012,-12253,2910892,2495742,43193,69406,134478,905,1314,483
20,Kansas,2019,35805,25737,-10210,2912635,2505381,43400,70974,133785,945,1387,513
20,Kansas,2020,35467,27169,-7180,2913805,2501069,43576,73607,133555,969,1446,534
21,Kentucky,2010,13677,10554,5819,4348464,3562210,31877,49535,116041,741,1072,311
21,Kentucky,2011,55322,42513,9567,4370817,3557584,32225,50076,120438,745,1092,324
21,Kentucky,2012,55282,42856,4771,4387865,3551642,33207,53015,125240,732,1084,311
21,Kentucky,2013,56040,44420,7502,4406906,3550735,33725,52800,131476,717,1074,328
21,Kentucky,2014,55745,43641,-1699,4416992,3544483,34766,55531,137194,754,1100,349
21,Kentucky,2015,55928,46308,2667,4429126,3552666,35900,57391,143722,737,1089,352
21,Kentucky,2016,55919,46715,2097,4440306,3542715,36562,58013,149315,756,1111,346
21,Kentucky,2017,54605,48536,9328,4455590,3547930,37894,60007,151570,765,1123,352
21,Kentucky,2019,53499,47227,1788,4472345,3662384,35650,57513,148095,786,1179,372
21,Kentucky,2020,52831,49879,1902,4477251,3626341,36766,59493,148909,825,1227,405
22,Louisiana,2010,14557,9178,5402,4544635,3641019,30553,52330,110413,705,1163,320
22,Louisiana,2011,62310,40770,9950,4576244,3633453,30733,52267,114758,694,1176,314
22,Louisiana,2012,62274,40729,4048,4602067,3652999,32124,57345,120518,689,1148,296
22,Louisiana,2013,62527,43787,4940,4626040,3652519,33047,57710,127438,680,1166,299
22,Louisiana,2014,64216,43590,-712,4645938,3657196,34194,60770,135206,686,1178,318
22,Louisiana,2015,64400,43973,678,4666998,3629892,34362,59348,146370,698,1219,323
22,Louisiana,2016,64479,43683,-6364,4681346,3597545,34392,58987,163826,692,1214,318
22,Louisiana,2017,61865,45010,-24541,4673673,3582284,35382,60861,167794,708,1233,326
22,Louisiana,2019,58469,46136,-18521,4658285,3691893,32624,58577,169767,727,1279,342
22,Louisiana,2020,57616,50108,-20406,4645318,3582698,32161,57477,170111,807,1349,372
23,Maine,2010,3448,3102,-990,1327651,1113946,34348,51240,128684,949,1289,433
23,Maine,2011,12628,13024,1260,1328473,1110870,34705,51778,141572,950,1304,453
